,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2016-10-14,48.3039394498,48.7214859117,46.1640138321,46.3727870633,4686100.0,37.3492881599,33.7788539774,7.06331993618,12.5671077196,4.63875461843,30.2859682237,44.4126080961,78.2417532485,52436.4609472,2.88927248318,90.9718067135
2016-10-13,45.9552428648,48.0951685549,45.38111646,47.625428769,6794500.0,36.9004628842,33.4631969691,6.8652004515,15.7921988848,4.23779328627,30.0352624327,43.7656633357,83.7310236785,89862.6839757,2.89672868556,89.3811429654
2016-10-12,46.3727928301,47.5732390113,45.7986663959,46.4249861424,5175300.0,36.3364557812,33.1082317893,6.59483925663,15.8375201525,3.81476300875,29.7416165246,42.9312950378,75.3112169705,-27442.680691,2.9190972565,85.9077173731
2016-10-11,46.2684036951,47.3644632107,45.3289241104,47.2078832799,5222400.0,35.7708300614,32.7744578355,6.37296303026,16.4127891012,3.45859603541,29.3978670312,42.1437930917,79.4871860856,329970.556046,2.96383439387,84.4284767844
2016-10-10,46.268403627,47.6254296925,46.268403627,46.6859501088,7089900.0,35.1846590221,32.4126954008,6.02748894281,15.6832277414,3.14406866068,29.1571700793,41.2121479649,80.4878099299,193969.62126,2.97874663537,81.0912341126
2016-10-07,45.5898940667,46.320600448,44.7548010596,44.9635743112,6156300.0,34.6245437456,32.0549475193,5.63504675417,14.1684801325,2.83819555978,28.9894969915,40.2595904998,79.3240647499,93662.7308183,2.95265022719,76.5887696519
2016-10-06,45.0679563017,46.4771756519,44.0762834255,45.5376960849,6944800.0,34.1185265981,31.7314029612,5.29832586743,15.1578530455,2.5965890502,28.8202007306,39.4168524655,81.2499962061,725476.858158,2.93773799665,72.1825304208
2016-10-05,43.1368031839,45.6942753113,43.1368031839,44.441635902,7872400.0,33.5771747036,31.3853591039,4.8431912094,13.0755681329,2.29965722056,28.7339834942,38.420365913,80.5439259385,198722.348763,2.93400989503,67.3970275546
2016-10-04,43.5543513325,44.2328643637,41.1012657587,41.5188122395,8210300.0,33.1101901274,31.0581138148,4.36345054402,10.8275295361,2.10483694033,28.7467395834,37.4736406714,79.6052592484,-250461.692709,2.8370797533,62.6291025686
2016-10-03,43.189001547,44.0762878649,41.5188155359,43.3977747981,6131900.0,32.723492644,30.7959246521,4.0598810712,10.9416655858,1.92532728414,28.6636115728,36.7833737152,85.0117026663,429122.497928,2.81843927736,57.2128750389
2016-09-30,41.571006731,43.5543525515,40.6315271316,42.6670662634,7035700.0,32.332718873,30.4800692089,3.47949871284,11.9238725841,1.75130427877,28.8532201602,35.8122175859,69.3836916647,1329373.87997,3.02348446156,50.9068640889
2016-09-29,38.5959898112,41.8841685089,38.3350232477,40.788108943,13542800.0,31.9068662808,30.1746117315,2.83847016183,8.90297855936,1.65389533181,29.0683961189,34.7453364426,66.4543574181,3140178.30418,2.98993162348,47.2344337763
2016-09-28,33.011303218,38.021861035,32.6459500439,37.9696677242,12113800.0,31.5889027608,29.9085927877,2.24292984676,5.25402458547,1.53416542186,29.345972914,33.8318326075,54.1841005941,1948687.08752,2.93773820079,43.9169288058
2016-09-27,31.5498903381,32.4893699255,30.6626040612,32.2805966838,9046000.0,31.4012590256,29.7065482968,1.87970962686,1.79693693088,1.54745210569,29.5215493987,33.2809686524,45.6323640432,184907.628828,2.72415119694,43.4126374684
2016-09-26,31.8108585134,34.002977618,31.3411187051,32.9591113776,7441000.0,31.3370827066,29.6420318024,1.87925080133,0.243468238904,1.65538753228,29.4578319053,33.2163335079,47.950900631,-65981.3851379,2.66392802957,45.6432811961
2016-09-23,33.2200777798,34.3161373289,31.2889252408,31.3933118645,6412500.0,31.3283874124,29.5588918169,1.87201704777,-0.0765673798503,1.65599854408,29.4563703646,33.2004044601,48.9557449323,-59623.6541373,2.62580725802,48.0778955277
2016-09-22,32.8025284201,34.0029745285,32.8025284201,33.6898146741,5714100.0,31.3311219617,29.5129135239,1.87217131526,4.81525897892,1.67714282336,29.4589506464,33.2032932769,57.7508392762,838027.740975,2.55417510669,48.8866531374
2016-09-21,30.7147957411,31.967435151,30.2450559623,31.60208199,7285200.0,31.1591484267,29.4082227882,1.86863860239,2.31227515552,1.63910917218,29.2905098243,33.0277870291,52.2252057193,499394.520922,2.47908062636,45.9889200728
2016-09-20,29.4099648059,30.6626042606,28.3660985937,29.7231246696,7337400.0,31.0765671711,29.3532354361,1.8991828006,1.05619716317,1.70162258219,29.1773843705,32.9757499717,46.1133746498,79084.6013796,2.44483145875,45.8576646903
2016-09-19,29.8275096916,30.7147959439,29.5665431468,29.5665431468,5656600.0,31.0388458439,29.343964454,1.93716945972,-0.398048753332,1.77769099041,29.1016763842,32.9760153036,46.2799585194,95107.413758,2.42909972665,47.4930431287
2016-09-16,28.0007418077,30.2450539978,27.8963551942,29.3577677831,10235200.0,31.0530618708,29.3383856944,1.92740063447,-0.087761502498,1.78743749585,29.1256612363,32.9804625053,46.943385633,677469.310118,2.43598221049,48.9601597293
2016-09-15,28.0007453561,30.2450577094,27.4266189401,29.2011914985,9622300.0,31.0561962102,29.3378998976,1.92461097993,1.93573986111,1.78052563584,29.1315852302,32.9808071901,43.8318124412,518364.514128,2.41281478496,50.0143423839
2016-09-14,27.3222300057,29.5143489431,26.6437170012,27.4266166218,7928100.0,30.9870626437,29.3413263859,2.02581778443,0.576416123605,1.77985566472,28.9612448593,33.0128804281,40.0763590935,-1518473.18808,2.32272585391,52.5804072074
2016-09-13,31.445505351,31.6542785993,27.0612671397,27.7919735082,9781600.0,30.9664763536,29.3893170773,2.06587174722,1.51274660051,1.73279809445,28.9006046063,33.0323481008,36.9340248236,-1462917.90747,2.2511546623,56.2708447
2016-09-12,31.9152456102,33.3244650473,30.8713793605,32.4893720475,7622600.0,30.9124496893,29.4293532351,2.16916449567,8.18259459914,1.67525082864,28.7432851936,33.0816141849,55.8738825858,-668915.681161,2.01173728086,61.9365028728
2016-09-09,34.9946477881,35.2034210262,32.698142173,32.698142173,6990300.0,30.6202141679,29.352656275,2.47804725452,8.80661586389,1.56645667961,28.1421669133,33.0982614224,52.5732966854,-320217.652944,1.99223598133,64.1251123255
2016-09-08,34.6361782257,36.401000379,33.6499540817,35.88193504,5800100.0,30.3056921727,29.2688043073,2.74864931407,9.96605353396,1.41341964222,27.5570428587,33.0543414868,61.7760249182,359258.408334,1.90571195281,66.9101347117
2016-09-07,33.7537680262,34.6880856516,33.2347026784,34.1171137694,6429200.0,29.9497616894,29.1030513969,2.64306011842,8.35694947623,1.19952546866,27.3067015709,32.5928218078,63.0596733914,368400.544014,1.91312735089,66.9782162465
2016-09-06,32.1446700862,33.8575858827,31.7294177715,33.8056793436,4989700.0,29.6512992081,28.9773778747,2.62683706741,7.26691850951,1.05039173623,27.0244621407,32.2781362755,53.4426144891,514554.373511,2.00952521446,65.7437276887
2016-09-02,31.3660710391,32.6118279595,31.3141645008,31.8332298842,5042800.0,29.3917664042,28.8563603033,2.55929958233,3.633464493,0.860373235812,26.8324668218,31.9510659865,51.2027629649,165979.034303,2.02435565775,65.3597863551
2016-09-01,30.2760268021,30.8469986465,29.4974288325,30.5874659899,5844300.0,29.2619998151,28.7817474131,2.52277777316,3.47773680362,0.741239554179,26.739222042,31.7847775883,55.2050248233,-86927.6532812,2.142998428,67.3927507363
2016-08-31,30.431748445,32.1446640465,30.3798419117,30.7950941787,7096200.0,29.1377949293,28.7364885,2.54065071922,3.1662971396,0.663478204423,26.5971442101,31.6784456485,54.5171229873,3299.8179245,2.1874897554,70.6003403633
2016-08-30,31.6775073284,32.3522922887,30.2760308713,31.0027223674,7538100.0,29.0247128886,28.6848911709,2.53461112927,3.78917646765,0.555474797091,26.4901017593,31.5593240179,56.8389019525,97806.9626102,2.17265932201,72.9638724474
2016-08-29,30.016496178,31.106533379,29.6531504444,30.7950941787,3437300.0,28.8893851576,28.6267965585,2.52623178813,2.59532878743,0.43147263536,26.3631533695,31.4156169457,52.2857062124,-128399.396393,2.17636692933,74.3451352244
2016-08-26,31.6255998679,32.1965717475,30.1722169013,30.3798430394,5577900.0,28.7966948438,28.5724498873,2.50120827829,1.712915533,0.386359500433,26.2954865655,31.2979031221,52.5568058018,-42119.781186,2.17265932426,77.2408132065
2016-08-25,30.795095883,31.7294135149,30.172217462,31.3660677691,6061200.0,28.735519289,28.5271490022,2.48192614704,1.14194194258,0.331432170346,26.253593142,31.217445436,60.5333247218,-287056.570828,2.26905740911,80.2096520295
2016-08-24,31.8332264731,32.5599179626,30.6912827034,30.6912827034,7729900.0,28.6947356482,28.4559937405,2.44622491735,1.09003620495,0.248231837762,26.2485107308,31.1409605656,59.9999890901,2037.00726106,2.23568892248,79.8823760276
2016-08-23,30.6912868797,32.5080157514,30.4317541837,32.4561092123,7580400.0,28.6558057837,28.3999679841,2.42182643172,3.11439664021,0.213933111156,26.233979352,31.0776322155,67.1469760749,236936.158098,2.24310414587,79.2152184897
2016-08-22,30.8989132976,31.3660721528,29.7050628902,30.7431936793,5177300.0,28.5445773323,28.2983040006,2.30974842805,1.03813570557,0.232624147213,26.2348289043,30.8543257604,67.6136402731,-328984.563177,2.31725632516,76.0376821687
2016-08-19,32.3522891751,32.5080087725,30.7431866709,31.8851303836,5655300.0,28.5075010571,28.2370247675,2.28130592795,-0.207628188762,0.13546715968,26.2261951292,30.7888069851,72.7810343484,179082.57757,2.30242638033,71.8133330099
2016-08-18,31.1584469271,33.3385216234,31.1065403867,32.7156431387,4406600.0,28.5149163496,28.1455878751,2.29299887626,4.82731217321,0.0787393876967,26.2219174733,30.8079152258,68.1440487352,-326099.434597,2.3469171382,66.1531648866
2016-08-17,32.2484820523,32.8194539723,30.016500909,30.4836597529,9509100.0,28.3425123434,28.0310430412,2.14196205991,0.311444902263,-0.0426342243168,26.2005502835,30.4844744033,64.1744520864,-381584.957076,2.26905716104,60.6256675023
2016-08-16,31.6775123309,33.3904281635,31.0546338463,32.7156431387,6748900.0,28.3313893112,27.9695701361,2.13121313401,4.20443284517,-0.0539941082148,26.2001761771,30.4626024452,70.307179696,1074541.87004,2.23568867047,55.8917397879
2016-08-15,29.601244038,32.5599164482,29.2898048369,31.4698792444,8982600.0,28.1812309953,27.8506135564,1.95140213422,1.92053848352,-0.0775294702535,26.229828861,30.1326331295,60.465129534,696092.747694,2.33950172839,49.750907007
2016-08-12,29.7050602836,30.2760321881,28.3035837906,28.8745556952,7849700.0,28.1126403351,27.759899514,1.86329043717,-1.45338160661,0.0798815572118,26.249349898,29.9759307723,56.2500185509,64775.4514048,2.20602800244,45.5201341701
2016-08-11,28.8226480143,29.7050591191,28.1478630517,29.2898068344,8103000.0,28.1645468211,27.7319615352,1.90507674133,-4.82730693497,0.186631977114,26.2594700797,30.0696235624,55.8394199566,-148861.831472,2.13558359135,40.9862178252
2016-08-10,30.1203104762,30.6393758225,28.5112079025,28.6669275064,7502900.0,28.3369506402,27.6929153704,2.20543240545,-2.69914026269,0.256318053369,26.1315182347,30.5423830456,55.1851824165,-215505.186442,2.12816837057,36.6076673889
2016-08-09,29.7569657574,30.5355637927,29.1340873291,29.9645919001,6207200.0,28.4333485067,27.6685025238,2.27817861826,0.259533926392,0.304094368611,26.1551698884,30.711527125,56.4394150796,715169.95944,2.14299881378,31.6343571362
2016-08-08,28.0440527456,30.6393796715,28.0440527456,29.4455292856,7575900.0,28.4240794379,27.610952853,2.27223803894,0.778601779175,0.264837296961,26.151841399,30.6963174768,52.8517259083,719292.994592,2.20602816424,26.3719750635
2016-08-05,27.0578254965,27.7845169899,26.6944797497,27.2654516374,7341700.0,28.3962722315,27.5649706404,2.26402410261,0.05190573763,0.36120336819,26.1322481289,30.6602963341,38.645406313,261856.98865,2.12075290857,21.2691502363
2016-08-04,26.1235089873,28.0959573739,26.1235089873,26.8502004981,6826200.0,28.3944184552,27.5724778482,2.26500534577,-4.56777824682,0.638630313606,26.1294131094,30.6594238009,39.6078411197,1072274.78833,2.17636705786,19.8367261188
2016-08-03,24.3067785919,26.3311334424,23.2167413647,26.2792269077,11386100.0,28.5575533926,27.5905811608,2.31363808713,-8.92792306664,0.889476208615,26.2439153054,30.8711914797,38.1526057215,1034819.92249,2.1207529999,18.7554124343
2016-08-02,24.6182166482,25.085375448,23.1129271822,24.3067774483,6378300.0,28.8764077878,27.6234492217,2.58706560477,-9.55080239468,1.1760002921,26.289342183,31.4634733926,26.1467720029,-424352.230702,2.03547797906,17.9720403808
2016-08-01,25.13728314,25.1891896746,23.3205544282,23.8915263091,6851800.0,29.2175078733,27.7065789861,2.59187692653,-10.2255874604,1.4677183251,26.6256309468,31.8093847998,19.1406142209,-480935.054501,2.11704539322,19.1632142618
2016-07-29,25.396816156,26.3311337861,24.5663115959,25.9158815061,8978900.0,29.5827074255,27.802200275,2.53338435925,-7.05929032075,1.79166353469,27.0493230662,32.1160917847,43.6241544827,-103638.788909,2.29501050853,22.969130361
2016-07-28,26.5387623583,27.6807061871,25.3449119918,25.7601642932,5382600.0,29.8348249369,27.8494793685,2.50606975826,-7.52644719766,1.98599555259,27.3287551787,32.3408946952,37.4631348347,-495732.175485,2.42477685198,22.5586768295
2016-07-27,28.7188353462,29.8088726023,26.0196954741,26.5387608341,5735300.0,30.1036266226,27.9018464044,2.45597730006,-5.03493512373,2.19200896602,27.6476493225,32.5596039226,44.6629149781,-169854.830811,2.42477651509,24.8106401421
